
2024/09/28 (14:09:05) | ===> btop++ v.1.4.0
2024/09/28 (14:09:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (09:51:58) | ===> btop++ v.1.4.0
2024/09/29 (09:51:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (18:40:30) | ===> btop++ v.1.4.0
2024/09/29 (18:40:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (19:15:59) | ===> btop++ v.1.4.0
2024/09/29 (19:15:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/09/29 (20:41:34) | ===> btop++ v.1.4.0
2024/09/29 (20:41:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (15:55:50) | ===> btop++ v.1.4.0
2024/10/01 (15:55:50) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/01 (18:11:35) | ===> btop++ v.1.4.0
2024/10/01 (18:11:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/03 (16:15:01) | ===> btop++ v.1.4.0
2024/10/03 (16:15:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (12:54:19) | ===> btop++ v.1.4.0
2024/10/04 (12:54:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (12:54:25) | ===> btop++ v.1.4.0
2024/10/04 (12:54:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/04 (20:53:48) | ===> btop++ v.1.4.0
2024/10/04 (20:53:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/07 (18:55:06) | ===> btop++ v.1.4.0
2024/10/07 (18:55:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (14:00:35) | ===> btop++ v.1.4.0
2024/10/12 (14:00:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (17:50:16) | ===> btop++ v.1.4.0
2024/10/12 (17:50:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/12 (19:22:58) | ===> btop++ v.1.4.0
2024/10/12 (19:22:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (19:59:23) | ===> btop++ v.1.4.0
2024/10/17 (19:59:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (00:10:59) | ===> btop++ v.1.4.0
2024/10/20 (00:10:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/20 (10:55:55) | ===> btop++ v.1.4.0
2024/10/20 (10:55:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:30:27) | ===> btop++ v.1.4.0
2024/10/31 (23:30:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (23:35:48) | ===> btop++ v.1.4.0
2024/10/31 (23:35:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (22:23:14) | ===> btop++ v.1.4.0
2024/11/12 (22:23:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (22:32:47) | ===> btop++ v.1.4.0
2024/11/13 (22:32:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (18:14:30) | ===> btop++ v.1.4.0
2024/11/14 (18:14:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/22 (10:59:37) | ===> btop++ v.1.4.0
2024/11/22 (10:59:37) | WARNING: Intel GPU: Failed to initialize PMU

